company_name,company_type,company_city,company_latitude,company_longitude,venue_category,venue_name,venue_distance,venue_latitude,venue_longitude
eRepublik,Video Games,Madrid,40.43094,-3.6952896,Airport,Sala VIP Neptuno,12974,40.494892,-3.566847
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,Airport,Sala VIP Neptuno,11180,40.494892,-3.566847
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,Airport,Sala VIP Neptuno,12800,40.494892,-3.566847
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,Airport,Adolfo Suárez Madrid-Barajas Airport (MAD) (Aeropuerto Adolfo Suárez Madrid-Barajas),39676,40.484787,-3.568011
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,Airport,Sala VIP Neptuno,12689,40.494892,-3.566847
Unkasoft Advergaming,Start Up (>$1M Raised),Madrid,40.4474363,-3.6714915,Airport,Sala VIP Neptuno,10294,40.494892,-3.566847
Comunitae,Start Up (>$1M Raised),Madrid,40.4905109,-3.7033403,Airport,Sala VIP Neptuno,11542,40.494892,-3.566847
