company_name,company_type,company_city,company_latitude,company_longitude,venue_category,venue_name,venue_distance,venue_latitude,venue_longitude
eRepublik,Video Games,Madrid,40.43094,-3.6952896,Starbucks,Starbucks,385,40.427245,-3.695299
Entropy Computational Services,Video Games,Madrid,40.4380872,-3.6760635,Starbucks,Starbucks,567,40.440273,-3.682125
Virgin Play,Video Games,Madrid,40.4273082,-3.6895115,Starbucks,Starbucks,257,40.42601,-3.692068
Undead Code Studios,Video Games,Madrid,40.6367104,-3.9980485,Starbucks,Starbucks,9987,40.568883,-3.920412
Busuu,Start Up (>$1M Raised),Madrid,40.4225487,-3.6830316,Starbucks,Starbucks,284,40.424959,-3.683936
Unkasoft Advergaming,Start Up (>$1M Raised),Madrid,40.4474363,-3.6714915,Starbucks,Starbucks,1000,40.451485,-3.682058
Comunitae,Start Up (>$1M Raised),Madrid,40.4905109,-3.7033403,Starbucks,Starbucks,1255,40.478703,-3.708454
